timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], clocks.current.sm [MHz], power.draw [W], temperature.gpu
2025/09/12 13:23:58.377, 0, 3 %, 21 %, 1298 MiB, 12282 MiB, 210 MHz, 7.61 W, 29
2025/09/12 13:23:59.382, 0, 24 %, 28 %, 1339 MiB, 12282 MiB, 210 MHz, 8.53 W, 29
2025/09/12 13:24:00.388, 0, 12 %, 19 %, 1344 MiB, 12282 MiB, 210 MHz, 9.23 W, 29
2025/09/12 13:24:01.392, 0, 4 %, 15 %, 1350 MiB, 12282 MiB, 210 MHz, 9.16 W, 29
2025/09/12 13:24:02.398, 0, 3 %, 18 %, 1345 MiB, 12282 MiB, 210 MHz, 8.60 W, 29
2025/09/12 13:24:03.402, 0, 6 %, 19 %, 1337 MiB, 12282 MiB, 210 MHz, 8.44 W, 29
2025/09/12 13:24:04.407, 0, 4 %, 18 %, 1338 MiB, 12282 MiB, 210 MHz, 8.91 W, 29
2025/09/12 13:24:05.412, 0, 3 %, 25 %, 1336 MiB, 12282 MiB, 210 MHz, 8.98 W, 29
2025/09/12 13:24:06.417, 0, 4 %, 35 %, 1321 MiB, 12282 MiB, 210 MHz, 8.64 W, 29
2025/09/12 13:24:07.423, 0, 3 %, 25 %, 1325 MiB, 12282 MiB, 210 MHz, 7.76 W, 29
2025/09/12 13:24:09.470, 0, 34 %, 41 %, 1327 MiB, 12282 MiB, 210 MHz, 7.96 W, 29
2025/09/12 13:24:10.484, 0, 3 %, 23 %, 1338 MiB, 12282 MiB, 210 MHz, 8.42 W, 29
2025/09/12 13:24:11.497, 0, 1 %, 1 %, 1326 MiB, 12282 MiB, 2610 MHz, 18.62 W, 30
2025/09/12 13:24:12.508, 0, 0 %, 0 %, 1315 MiB, 12282 MiB, 2610 MHz, 31.37 W, 30
2025/09/12 13:24:13.511, 0, 2 %, 1 %, 1319 MiB, 12282 MiB, 2610 MHz, 30.77 W, 31
2025/09/12 13:24:14.515, 0, 0 %, 0 %, 1302 MiB, 12282 MiB, 2610 MHz, 30.77 W, 31
2025/09/12 13:24:15.523, 0, 2 %, 9 %, 1304 MiB, 12282 MiB, 405 MHz, 18.93 W, 30
2025/09/12 13:24:16.529, 0, 3 %, 7 %, 1303 MiB, 12282 MiB, 255 MHz, 15.22 W, 30
2025/09/12 13:24:17.534, 0, 30 %, 38 %, 1281 MiB, 12282 MiB, 2610 MHz, 11.11 W, 29
2025/09/12 13:24:18.537, 0, 1 %, 1 %, 1293 MiB, 12282 MiB, 2610 MHz, 30.67 W, 31
2025/09/12 13:24:19.540, 0, 1 %, 1 %, 1342 MiB, 12282 MiB, 2610 MHz, 30.68 W, 31
2025/09/12 13:24:20.543, 0, 1 %, 1 %, 1341 MiB, 12282 MiB, 555 MHz, 30.00 W, 31
2025/09/12 13:24:21.546, 0, 2 %, 9 %, 1345 MiB, 12282 MiB, 360 MHz, 19.94 W, 30
2025/09/12 13:24:22.551, 0, 5 %, 9 %, 1349 MiB, 12282 MiB, 225 MHz, 15.40 W, 30
2025/09/12 13:24:23.554, 0, 4 %, 26 %, 1349 MiB, 12282 MiB, 210 MHz, 9.45 W, 30
2025/09/12 13:24:24.559, 0, 3 %, 31 %, 1332 MiB, 12282 MiB, 210 MHz, 8.09 W, 30
2025/09/12 13:24:25.563, 0, 4 %, 30 %, 1331 MiB, 12282 MiB, 210 MHz, 8.86 W, 30
2025/09/12 13:24:26.568, 0, 3 %, 34 %, 1331 MiB, 12282 MiB, 210 MHz, 8.90 W, 30
2025/09/12 13:24:27.574, 0, 3 %, 32 %, 1327 MiB, 12282 MiB, 210 MHz, 8.23 W, 30
2025/09/12 13:24:28.579, 0, 3 %, 27 %, 1327 MiB, 12282 MiB, 210 MHz, 7.71 W, 29
2025/09/12 13:24:29.584, 0, 3 %, 36 %, 1327 MiB, 12282 MiB, 210 MHz, 8.32 W, 29
2025/09/12 13:24:30.589, 0, 3 %, 31 %, 1318 MiB, 12282 MiB, 210 MHz, 9.01 W, 29
2025/09/12 13:24:31.594, 0, 4 %, 25 %, 1311 MiB, 12282 MiB, 210 MHz, 8.79 W, 29
2025/09/12 13:24:32.599, 0, 3 %, 31 %, 1308 MiB, 12282 MiB, 210 MHz, 8.07 W, 29
2025/09/12 13:24:33.604, 0, 3 %, 35 %, 1308 MiB, 12282 MiB, 210 MHz, 7.87 W, 29
2025/09/12 13:24:34.610, 0, 3 %, 29 %, 1308 MiB, 12282 MiB, 210 MHz, 8.52 W, 29
2025/09/12 13:24:35.617, 0, 3 %, 28 %, 1308 MiB, 12282 MiB, 210 MHz, 8.99 W, 29
2025/09/12 13:24:36.622, 0, 3 %, 32 %, 1308 MiB, 12282 MiB, 210 MHz, 8.70 W, 29
2025/09/12 13:24:37.628, 0, 5 %, 27 %, 1308 MiB, 12282 MiB, 210 MHz, 8.00 W, 29
2025/09/12 13:24:38.634, 0, 3 %, 35 %, 1308 MiB, 12282 MiB, 210 MHz, 7.87 W, 29
2025/09/12 13:24:39.640, 0, 3 %, 33 %, 1308 MiB, 12282 MiB, 210 MHz, 8.57 W, 29
2025/09/12 13:24:40.647, 0, 3 %, 29 %, 1308 MiB, 12282 MiB, 210 MHz, 8.99 W, 29
2025/09/12 13:24:42.668, 0, 3 %, 30 %, 1308 MiB, 12282 MiB, 210 MHz, 8.63 W, 29
2025/09/12 13:24:43.678, 0, 3 %, 26 %, 1308 MiB, 12282 MiB, 210 MHz, 7.93 W, 29
2025/09/12 13:24:44.689, 0, 3 %, 26 %, 1308 MiB, 12282 MiB, 210 MHz, 7.93 W, 29
2025/09/12 13:24:45.700, 0, 3 %, 32 %, 1308 MiB, 12282 MiB, 210 MHz, 8.67 W, 29
2025/09/12 13:24:46.706, 0, 3 %, 30 %, 1308 MiB, 12282 MiB, 210 MHz, 9.08 W, 29
2025/09/12 13:24:47.711, 0, 5 %, 23 %, 1308 MiB, 12282 MiB, 210 MHz, 8.55 W, 29
2025/09/12 13:24:48.717, 0, 3 %, 22 %, 1308 MiB, 12282 MiB, 210 MHz, 7.77 W, 29
2025/09/12 13:24:49.721, 0, 3 %, 29 %, 1308 MiB, 12282 MiB, 210 MHz, 7.99 W, 29
2025/09/12 13:24:50.726, 0, 3 %, 36 %, 1308 MiB, 12282 MiB, 210 MHz, 8.59 W, 29
2025/09/12 13:24:51.731, 0, 5 %, 34 %, 1308 MiB, 12282 MiB, 210 MHz, 8.77 W, 29
2025/09/12 13:24:52.736, 0, 5 %, 31 %, 1308 MiB, 12282 MiB, 210 MHz, 8.23 W, 29
2025/09/12 13:24:53.741, 0, 4 %, 27 %, 1308 MiB, 12282 MiB, 210 MHz, 7.56 W, 29
2025/09/12 13:24:54.745, 0, 5 %, 31 %, 1308 MiB, 12282 MiB, 210 MHz, 8.02 W, 29
2025/09/12 13:24:55.749, 0, 3 %, 35 %, 1308 MiB, 12282 MiB, 210 MHz, 8.74 W, 29
2025/09/12 13:24:56.753, 0, 4 %, 27 %, 1308 MiB, 12282 MiB, 210 MHz, 8.81 W, 29
2025/09/12 13:24:57.757, 0, 3 %, 26 %, 1308 MiB, 12282 MiB, 210 MHz, 7.99 W, 29
2025/09/12 13:24:58.761, 0, 3 %, 32 %, 1308 MiB, 12282 MiB, 210 MHz, 7.61 W, 29
2025/09/12 13:24:59.766, 0, 5 %, 28 %, 1308 MiB, 12282 MiB, 210 MHz, 8.24 W, 29
2025/09/12 13:25:00.771, 0, 3 %, 18 %, 1308 MiB, 12282 MiB, 210 MHz, 8.78 W, 29
2025/09/12 13:25:01.777, 0, 3 %, 20 %, 1308 MiB, 12282 MiB, 210 MHz, 8.44 W, 29
2025/09/12 13:25:02.781, 0, 3 %, 27 %, 1308 MiB, 12282 MiB, 210 MHz, 7.81 W, 29
2025/09/12 13:25:03.786, 0, 3 %, 31 %, 1308 MiB, 12282 MiB, 210 MHz, 7.69 W, 29
2025/09/12 13:25:04.791, 0, 3 %, 23 %, 1308 MiB, 12282 MiB, 210 MHz, 8.33 W, 29
2025/09/12 13:25:05.797, 0, 3 %, 30 %, 1308 MiB, 12282 MiB, 210 MHz, 8.88 W, 29
2025/09/12 13:25:06.802, 0, 3 %, 31 %, 1308 MiB, 12282 MiB, 210 MHz, 8.45 W, 29
2025/09/12 13:25:07.807, 0, 3 %, 31 %, 1308 MiB, 12282 MiB, 210 MHz, 7.78 W, 29
2025/09/12 13:25:08.813, 0, 5 %, 23 %, 1308 MiB, 12282 MiB, 210 MHz, 7.76 W, 29
