procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 13817996 659300 8402880    0    0     0   304 1087  993  0  0 99  0  0
 1  0      0 13813016 659300 8402908    0    0     0     0 1024  755  0  3 97  0  0
 1  0      0 13892696 659300 8402912    0    0     0     0 1383  725  0  7 93  0  0
 1  0      0 13892956 659300 8402916    0    0     0     0 1212  595  0  6 93  0  0
 1  0      0 13888788 659300 8402916    0    0     0     0 1282  673  0  6 94  0  0
 1  0      0 13767684 659308 8402928    0    0     0    44 3029 2164  3  7 89  1  0
 0  0      0 13769200 659308 8402928    0    0     0    52 1377  742  1  5 95  0  0
 1  0      0 13699936 659308 8402932    0    0     0     0  905  794  0  0 99  0  0
 0  0      0 13768544 659308 8402936    0    0     0     0  799  706  0  0 100  0  0
 0  0      0 13768544 659308 8402936    0    0     0     0  879  715  0  0 100  0  0
 0  0      0 13768544 659316 8402944    0    0     0    60  936  772  0  0 99  0  0
 0  0      0 13768544 659316 8402944    0    0     0    60  879  746  0  0 100  0  0
 2  0      0 13768544 659316 8402944    0    0     0     0  769  685  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 13768544 659316 8402948    0    0     0     0  847  769  0  0 100  0  0
 2  0      0 13768544 659316 8402952    0    0     0     0  750  684  0  0 100  0  0
 1  0      0 13768544 659324 8402948    0    0     0    44  737  688  0  0 100  0  0
 0  0      0 13768544 659324 8402956    0    0     0    40  828  760  0  0 99  0  0
 0  0      0 13768544 659324 8402968    0    0     0     0  864  766  0  0 100  0  0
 0  0      0 13768544 659324 8402968    0    0     0     0  749  653  0  0 100  0  0
 0  0      0 13768544 659324 8402968    0    0     0     0  824  756  0  0 100  0  0
 0  0      0 13886732 659332 8402960    0    0     0    44 1099  841  1  0 99  0  0
 0  0      0 13886844 659332 8402972    0    0     0    44  819  714  0  0 100  0  0
 0  0      0 13886592 659340 8402980    0    0     0    64  684  756  0  0 99  0  0
 1  0      0 13886592 659340 8402984    0    0     0     0  544  717  0  0 99  0  0
 0  0      0 13886592 659340 8402988    0    0     0     0  523  717  0  0 100  0  0
 0  0      0 13886592 659340 8402988    0    0     0     0  524  746  0  0 100  0  0
 0  0      0 13886592 659340 8402992    0    0     0     0  521  683  0  0 99  0  0
 0  0      0 13886592 659340 8402992    0    0     0   112  891  806  0  0 100  0  0
 0  0      0 13886592 659340 8402996    0    0     0     0  752  688  0  0 100  0  0
 0  0      0 13886592 659340 8403000    0    0     0     0  821  745  0  0 100  0  0
 0  0      0 13886592 659340 8403008    0    0     0     0  823  739  0  0 100  0  0
 1  0      0 13886516 659340 8403008    0    0     0     0 1088  771  0  3 97  0  0
 0  0      0 13889552 659340 8403012    0    0     0   108 1041  735  0  2 97  0  0
 1  0      0 13889552 659340 8403012    0    0     0     0  893  790  0  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 13889552 659340 8403016    0    0     0     0  800  735  0  0 100  0  0
 0  0      0 13889552 659340 8403020    0    0     0     0  745  680  0  0 100  0  0
 1  0      0 13889552 659340 8403028    0    0     0     0  833  734  0  0 100  0  0
 2  0      0 13889552 659340 8403032    0    0     0   116  832  748  0  0 100  0  0
 2  0      0 13889552 659340 8403032    0    0     0     0  773  651  0  0 99  0  0
 0  0      0 13889552 659340 8403036    0    0     0     0  868  762  0  0 100  0  0
 0  0      0 13889552 659340 8403036    0    0     0     0  804  704  0  0 100  0  0
 0  0      0 13889552 659340 8403036    0    0     0     0  805  680  0  0 100  0  0
 0  0      0 13889552 659344 8403040    0    0     0    28  801  726  0  0 99  0  0
 0  0      0 13889552 659344 8403044    0    0     0    76  826  740  0  0 99  0  0
 0  0      0 13887296 659344 8403052    0    0     0     0  934  758  0  0 100  0  0
 0  0      0 13887296 659344 8403060    0    0     0     0  879  816  0  0 100  0  0
 1  0      0 13887296 659344 8403060    0    0     0     0  818  763  0  0 99  0  0
 0  1      0 13887296 659352 8403056    0    0     0    72  774  667  0  0 100  0  0
 1  0      0 13887296 659352 8403072    0    0     0    80  842  709  0  0 99  0  0
 0  0      0 13773644 659352 8403080    0    0     0     8 2338 2293  3  1 96  0  0
 0  0      0 13773168 659352 8403080    0    0     0     0  674  570  0  0 100  0  0
 0  0      0 13773168 659352 8403080    0    0     0     0  827  704  0  0 99  0  0
 0  0      0 13772160 659352 8403088    0    0     0     0  806  788  0  0 100  0  0
 0  0      0 13772160 659352 8403088    0    0     0   300  732  617  0  0 100  0  0
 0  0      0 13772160 659352 8403092    0    0     0     0  577  700  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 13772160 659352 8403092    0    0     0     0  422  588  0  0 100  0  0
 0  0      0 13772160 659352 8403100    0    0     0     0  414  619  0  0 100  0  0
 0  0      0 13772160 659352 8403100    0    0     0     0  441  666  0  0 100  0  0
