timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], clocks.current.sm [MHz], power.draw [W], temperature.gpu
2025/09/12 12:48:28.696, 0, 47 %, 33 %, 3407 MiB, 12282 MiB, 2595 MHz, 69.43 W, 36
2025/09/12 12:48:29.718, 0, 39 %, 17 %, 3407 MiB, 12282 MiB, 2670 MHz, 89.83 W, 38
2025/09/12 12:48:30.735, 0, 26 %, 11 %, 3407 MiB, 12282 MiB, 2460 MHz, 83.39 W, 37
2025/09/12 12:48:31.767, 0, 39 %, 16 %, 3407 MiB, 12282 MiB, 2670 MHz, 80.47 W, 39
2025/09/12 12:48:32.782, 0, 25 %, 11 %, 3407 MiB, 12282 MiB, 2700 MHz, 87.52 W, 37
2025/09/12 12:48:33.814, 0, 37 %, 16 %, 3407 MiB, 12282 MiB, 2550 MHz, 89.08 W, 37
2025/09/12 12:48:34.831, 0, 31 %, 12 %, 3407 MiB, 12282 MiB, 2490 MHz, 85.29 W, 42
2025/09/12 12:48:35.861, 0, 24 %, 11 %, 3407 MiB, 12282 MiB, 2655 MHz, 80.80 W, 38
2025/09/12 12:48:36.878, 0, 22 %, 10 %, 3407 MiB, 12282 MiB, 2655 MHz, 86.15 W, 38
2025/09/12 12:48:37.908, 0, 26 %, 11 %, 3407 MiB, 12282 MiB, 2880 MHz, 98.00 W, 41
2025/09/12 12:48:38.926, 0, 31 %, 13 %, 3407 MiB, 12282 MiB, 2835 MHz, 104.22 W, 44
2025/09/12 12:48:39.957, 0, 41 %, 16 %, 3404 MiB, 12282 MiB, 2745 MHz, 98.94 W, 39
2025/09/12 12:48:40.974, 0, 29 %, 12 %, 3404 MiB, 12282 MiB, 2745 MHz, 94.48 W, 39
2025/09/12 12:48:42.002, 0, 47 %, 33 %, 3404 MiB, 12282 MiB, 2280 MHz, 88.73 W, 43
2025/09/12 12:48:43.021, 0, 38 %, 17 %, 3404 MiB, 12282 MiB, 2745 MHz, 93.58 W, 52
2025/09/12 12:48:44.026, 0, 38 %, 25 %, 3404 MiB, 12282 MiB, 2325 MHz, 88.54 W, 41
2025/09/12 12:48:45.066, 0, 20 %, 8 %, 3496 MiB, 12282 MiB, 2505 MHz, 79.19 W, 38
2025/09/12 12:48:46.097, 0, 35 %, 22 %, 3496 MiB, 12282 MiB, 2250 MHz, 72.74 W, 45
2025/09/12 12:48:48.012, 0, 40 %, 19 %, 3496 MiB, 12282 MiB, 2820 MHz, 84.00 W, 37
2025/09/12 12:48:49.055, 0, 29 %, 12 %, 3496 MiB, 12282 MiB, 2625 MHz, 101.13 W, 53
2025/09/12 12:48:50.071, 0, 22 %, 9 %, 3496 MiB, 12282 MiB, 2400 MHz, 92.04 W, 42
2025/09/12 12:48:51.104, 0, 25 %, 11 %, 3496 MiB, 12282 MiB, 2685 MHz, 88.31 W, 41
2025/09/12 12:48:52.119, 0, 37 %, 17 %, 3496 MiB, 12282 MiB, 2700 MHz, 93.05 W, 47
2025/09/12 12:48:53.151, 0, 26 %, 11 %, 3496 MiB, 12282 MiB, 2700 MHz, 90.43 W, 39
2025/09/12 12:48:54.167, 0, 33 %, 15 %, 3496 MiB, 12282 MiB, 2685 MHz, 85.12 W, 39
2025/09/12 12:48:55.197, 0, 21 %, 9 %, 3496 MiB, 12282 MiB, 2685 MHz, 92.62 W, 50
2025/09/12 12:48:56.214, 0, 21 %, 9 %, 3496 MiB, 12282 MiB, 2850 MHz, 99.92 W, 46
2025/09/12 12:48:57.244, 0, 23 %, 10 %, 3496 MiB, 12282 MiB, 2565 MHz, 105.15 W, 51
2025/09/12 12:48:58.260, 0, 36 %, 15 %, 3496 MiB, 12282 MiB, 2670 MHz, 89.99 W, 43
2025/09/12 12:48:59.291, 0, 26 %, 10 %, 3496 MiB, 12282 MiB, 2715 MHz, 85.64 W, 44
2025/09/12 12:49:00.307, 0, 22 %, 9 %, 3496 MiB, 12282 MiB, 2715 MHz, 94.26 W, 43
2025/09/12 12:49:01.338, 0, 22 %, 10 %, 3496 MiB, 12282 MiB, 2715 MHz, 98.88 W, 49
2025/09/12 12:49:02.354, 0, 22 %, 10 %, 3496 MiB, 12282 MiB, 2820 MHz, 102.92 W, 46
2025/09/12 12:49:03.385, 0, 36 %, 16 %, 3496 MiB, 12282 MiB, 2775 MHz, 89.56 W, 53
2025/09/12 12:49:04.399, 0, 39 %, 17 %, 3496 MiB, 12282 MiB, 2775 MHz, 100.90 W, 44
2025/09/12 12:49:05.431, 0, 22 %, 8 %, 3496 MiB, 12282 MiB, 2640 MHz, 90.91 W, 40
2025/09/12 12:49:06.445, 0, 21 %, 9 %, 3496 MiB, 12282 MiB, 2880 MHz, 102.72 W, 51
2025/09/12 12:49:07.475, 0, 23 %, 10 %, 3496 MiB, 12282 MiB, 2865 MHz, 99.13 W, 42
2025/09/12 12:49:08.479, 0, 23 %, 10 %, 3496 MiB, 12282 MiB, 2820 MHz, 103.40 W, 42
2025/09/12 12:49:09.522, 0, 20 %, 9 %, 3509 MiB, 12282 MiB, 2100 MHz, 88.53 W, 42
2025/09/12 12:49:10.538, 0, 38 %, 14 %, 3511 MiB, 12282 MiB, 2700 MHz, 74.18 W, 47
2025/09/12 12:49:11.568, 0, 39 %, 17 %, 3511 MiB, 12282 MiB, 2700 MHz, 88.54 W, 50
2025/09/12 12:49:12.659, 0, 20 %, 9 %, 3506 MiB, 12282 MiB, 2820 MHz, 102.51 W, 42
2025/09/12 12:49:13.675, 0, 38 %, 17 %, 3506 MiB, 12282 MiB, 2805 MHz, 102.00 W, 53
2025/09/12 12:49:14.708, 0, 24 %, 10 %, 3498 MiB, 12282 MiB, 2865 MHz, 105.77 W, 47
2025/09/12 12:49:15.722, 0, 23 %, 9 %, 3498 MiB, 12282 MiB, 2850 MHz, 108.16 W, 54
2025/09/12 12:49:16.750, 0, 19 %, 7 %, 3495 MiB, 12282 MiB, 2805 MHz, 110.79 W, 43
2025/09/12 12:49:17.770, 0, 27 %, 11 %, 3495 MiB, 12282 MiB, 2610 MHz, 103.42 W, 52
2025/09/12 12:49:18.802, 0, 27 %, 12 %, 3495 MiB, 12282 MiB, 2475 MHz, 97.18 W, 50
2025/09/12 12:49:20.646, 0, 26 %, 12 %, 3495 MiB, 12282 MiB, 2850 MHz, 84.83 W, 52
2025/09/12 12:49:21.679, 0, 21 %, 9 %, 3495 MiB, 12282 MiB, 2835 MHz, 110.55 W, 49
2025/09/12 12:49:22.691, 0, 38 %, 17 %, 3495 MiB, 12282 MiB, 2745 MHz, 103.21 W, 42
2025/09/12 12:49:23.696, 0, 38 %, 16 %, 3495 MiB, 12282 MiB, 2745 MHz, 99.91 W, 45
2025/09/12 12:49:24.698, 0, 24 %, 12 %, 3495 MiB, 12282 MiB, 2715 MHz, 82.55 W, 41
2025/09/12 12:49:25.702, 0, 36 %, 15 %, 3495 MiB, 12282 MiB, 2730 MHz, 98.54 W, 45
