procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 12864736 657024 8307940    0    0     0     0 1362  594  6  0 94  0  0
 1  0      0 12864736 657024 8307944    0    0     0     0 1523  754  6  0 93  0  0
 1  0      0 12864736 657024 8307948    0    0     0    56 1402  674  6  0 93  0  0
 1  0      0 12864736 657032 8307952    0    0     0    56 1343  611  6  0 94  0  0
 1  0      0 12864736 657032 8307952    0    0     0     0 1464  707  6  0 94  0  0
 2  0      0 12864736 657032 8307960    0    0     0     0 1383  644  6  0 93  0  0
 1  0      0 12864736 657032 8307960    0    0     0     0 1354  645  6  0 94  0  0
 1  0      0 12864736 657032 8307964    0    0     0     0 1426  711  6  0 93  0  0
 1  0      0 12864736 657040 8307968    0    0     0    28 1379  645  6  0 93  0  0
 1  0      0 12864736 657040 8307964    0    0     0     0 1449  700  6  0 94  0  0
 1  0      0 12864736 657040 8307976    0    0     0     0 1410  692  6  0 94  0  0
 1  0      0 12864736 657040 8307976    0    0     0     0 1373  632  6  0 93  0  0
 1  0      0 12864736 657040 8307980    0    0     0     0 1429  686  6  0 94  0  0
 1  0      0 12864736 657048 8307980    0    0     0    28 1580  753  6  0 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 12864736 657048 8307984    0    0     0     0 1389  660  6  0 93  0  0
 1  0      0 12864736 657048 8307984    0    0     0     0 1420  687  6  0 93  0  0
 1  0      0 12864736 657048 8307992    0    0     0     0 1424  698  6  0 93  0  0
 1  0      0 12864736 657048 8307996    0    0     0     0 1464  700  6  0 93  0  0
 1  0      0 12864736 657056 8308004    0    0     0    28 1412  703  6  0 93  0  0
 1  0      0 12864736 657056 8308004    0    0     0     0 1484  707  6  0 93  0  0
 1  0      0 12864736 657056 8308004    0    0     0     0 1366  615  6  0 94  0  0
 1  0      0 12865456 657056 8308024    0    0     0     0 2486 1299  7  1 92  0  0
 1  0      0 12865704 657056 8308032    0    0     0     0 1620  807  6  1 93  0  0
 1  0      0 12864948 657064 8308036    0    0     0    68 1414  710  6  0 93  0  0
 1  0      0 12864948 657064 8308040    0    0     0     0 1396  675  6  0 93  0  0
 1  0      0 12863184 657064 8308024    0    0     0     0 1579  731  6  1 93  0  0
 1  0      0 12863184 657064 8308024    0    0     0     0 1333  619  6  0 94  0  0
 1  0      0 12863184 657064 8308052    0    0     0     0 1417  682  6  0 94  0  0
 1  0      0 12863184 657072 8308052    0    0     0    32 1382  639  6  0 93  0  0
 1  0      0 12863184 657072 8308060    0    0     0    80 1449  792  6  0 94  0  0
 1  0      0 12863184 657072 8308056    0    0     0     0 1338  624  6  0 93  0  0
 1  0      0 12863184 657072 8308060    0    0     0     0 1488  646  6  0 93  0  0
 1  0      0 12862932 657072 8308068    0    0     0     0 1340  606  6  0 94  0  0
 1  0      0 12862932 657080 8308068    0    0     0   236 1440  684  6  0 93  0  0
 1  0      0 12862932 657080 8308064    0    0     0     0 1379  627  6  0 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 12862932 657080 8308068    0    0     0     0 1315  571  6  0 94  0  0
 1  0      0 12862932 657080 8308076    0    0     0     0 1357  618  6  0 93  0  0
 1  0      0 12862932 657080 8308084    0    0     0     0 1426  696  6  0 93  0  0
 1  0      0 12862932 657084 8308084    0    0     0   120 1358  613  6  0 94  0  0
 1  0      0 12862932 657084 8308088    0    0     0     0 1450  738  6  0 93  0  0
 1  0      0 12862932 657084 8308088    0    0     0     0 1386  598  6  1 93  0  0
 1  0      0 12861168 657084 8308100    0    0     0    20 1761 1324  6  1 93  0  0
 1  0      0 12614464 657084 8308144    0    0     0     0 2529 2023  5  2 93  0  0
 1  0      0 12648456 657092 8308148    0    0     0   160 2579 2414  5  2 92  0  0
 1  0      0 12648932 657092 8308228    0    0     0     0 1975 1703  6  1 93  0  0
 1  0      0 12649072 657092 8308236    0    0     0     0 2117 1876  6  1 93  0  0
 1  0      0 12648976 657092 8308356    0    0     0     0 1923 1505  6  1 93  0  0
 1  0      0 12641124 657092 8308416    0    0     0     0 2490 2177  5  2 93  0  0
 1  0      0 12651056 657100 8308528    0    0     0   476 2369 1857  6  1 93  0  0
 1  0      0 12639084 657100 8308640    0    0     0     0 2000 1619  6  1 93  0  0
 1  0      0 12638860 657100 8308692    0    0     0     0 1815 1405  6  1 93  0  0
 1  0      0 12625424 657100 8308752    0    0     0     0 2102 1790  6  1 93  0  0
 1  0      0 12649920 657100 8308808    0    0     0     0 2450 2087  6  1 93  0  0
 1  0      0 12644828 657104 8308888    0    0     0   508 2393 1907  6  1 93  0  0
 1  0      0 12639752 657104 8308944    0    0     0     0 1819 1360  6  1 93  0  0
 1  0      0 12653232 657104 8308948    0    0     0     0 2055 1756  5  2 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 12642632 657104 8309020    0    0     0     0 1984 1612  6  1 93  0  0
 1  0      0 12638052 657104 8309092    0    0     0     0 2693 2299  6  2 92  0  0
 1  0      0 12646252 657108 8309096    0    0     0   336 2698 2184  6  2 92  0  0
 1  0      0 12645160 657108 8309152    0    0     0     0 2052 1663  5  1 93  0  0
 1  0      0 12635708 657108 8309212    0    0     0     0 2129 1805  6  2 93  0  0
 1  0      0 12644972 657108 8309280    0    0     0     0 2550 2596  6  1 93  0  0
 1  0      0 12634484 657108 8309400    0    0     0    80 2407 1969  6  1 93  0  0
 1  0      0 12635612 657116 8309464    0    0     0    92 2353 1827  6  2 93  0  0
 1  0      0 12635360 657116 8309536    0    0     0   468 1819 1484  6  1 93  0  0
 1  0      0 12633656 657116 8309552    0    0     0     0 1927 1623  5  1 93  0  0
 1  0      0 12641356 657116 8309668    0    0     0     0 2044 1786  5  1 93  0  0
 1  0      0 12627548 657116 8309732    0    0     0     0 2491 2052  6  1 93  0  0
 1  0      0 12626036 657124 8309892    0    0     0    84 2618 2254  6  1 93  0  0
 1  0      0 12625528 657124 8309944    0    0     0   524 1957 1570  6  1 93  0  0
 3  0      0 12629228 657124 8310072    0    0     0     0 2164 2002  6  1 93  0  0
 1  0      0 12613520 657124 8310096    0    0     0     0 1918 1620  6  1 93  0  0
 1  0      0 12635368 657124 8310100    0    0     0     0 2691 2360  5  2 93  0  0
 1  0      0 12635460 657132 8310160    0    0     0    84 2446 2064  6  1 93  0  0
 1  0      0 12626824 657136 8310220    0    0     0   340 1871 1400  6  1 93  0  0
 1  0      0 12626824 657136 8310312    0    0     0     0 2092 2014  5  1 93  0  0
 1  0      0 12637264 657136 8310380    0    0     0     0 1893 1462  6  1 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 12638440 657136 8310520    0    0     0     0 2622 2135  6  1 93  0  0
 1  0      0 12634188 657140 8310544    0    0     0    92 2692 2202  5  2 92  0  0
 1  0      0 12618732 657140 8310556    0    0     0   372 1957 1622  5  2 93  0  0
 1  0      0 12634500 657140 8310636    0    0     0     0 2032 1724  6  1 93  0  0
 1  0      0 12624192 657140 8310752    0    0     0     0 2142 1789  6  1 93  0  0
 1  0      0 12622680 657140 8310752    0    0     0     0 2476 2127  5  2 93  0  0
 1  0      0 12605736 657140 8310812    0    0     0    92 2587 2215  5  2 93  0  0
 1  0      0 12639388 657140 8310864    0    0     0     0 2106 1879  6  1 93  0  0
 1  0      0 12639644 657140 8310856    0    0     0   384 2058 1729  5  2 93  0  0
 1  0      0 12631116 657140 8310932    0    0     0     0 2443 2501  6  1 93  0  0
 1  0      0 12637708 657140 8310956    0    0     0     0 2500 2215  5  2 92  0  0
 1  0      0 12639708 657140 8310948    0    0     0    80 2657 2515  6  2 93  0  0
 1  0      0 12627928 657140 8311012    0    0     0     0 2621 2830  6  1 93  0  0
 1  0      0 12609028 657140 8311100    0    0     0   268 1952 1620  6  1 93  0  0
